﻿Sr.No.,Response No,ParticipationStatus,1.How familiar are you with mathematical programming?,2.How many dimensionality reduction algorithms do you know?,3.Do what degree have you been involved in designing a scientific survey?,4.Where do you consider yourself politically from left to right?,5.What is your favorite number (among these)?,6.How do you feel about our upcoming analysis?
,,, , , , , , ,
1,3,Complete,6,7,1,2,7,9,
2,4,Complete,1,0,9,5,0,9,
3,5,Complete,5,0,0,4,7,5,
4,6,Complete,4,3,1,2,8,9,
5,7,Complete,4,0,7,4,6,9,
6,8,Complete,6,2,9,0,5,9,
7,9,Complete,2,2,7,4,8,8,
8,10,Complete,9,4,0,3,1,8,
9,11,Complete,8,2,4,3,8,9,
10,12,Complete,9,3,3,0,7,8,
11,13,Complete,9,3,9,1,4,9,
12,14,Complete,6,0,9,2,3,7,
13,15,Complete,4,4,8,2,7,9,
14,16,Complete,9,6,8,0,7,9,
15,17,Complete,1,1,9,2,9,5,
16,18,Complete,1,0,2,2,9,3,
17,19,Complete,1,0,5,1,9,9,
18,20,Complete,9,3,0,2,5,9,
